age,balance,duration,job,marital,education,default,housing,loan,contact
30,1787,79,10,1,0,0,0,0,0
33,4789,220,7,1,1,0,1,1,0
35,1350,185,4,2,2,0,1,0,0
30,1476,199,4,1,2,0,1,1,2
59,0,226,1,1,1,0,1,0,2
35,747,141,4,2,2,0,0,0,0
36,307,341,6,1,2,0,1,0,0
39,147,151,9,1,1,0,1,0,0
41,221,57,2,1,2,0,1,0,2
43,-88,313,7,1,0,0,1,1,0
39,9374,273,7,1,1,0,1,0,2
43,264,113,0,1,1,0,1,0,0
36,1109,328,9,1,2,0,0,0,0
20,502,261,8,2,1,0,0,0,0
31,360,89,1,1,1,0,1,1,0
40,194,189,4,1,2,0,0,1,0
56,4073,239,9,1,1,0,0,0,0
37,2317,114,0,2,2,0,1,0,0
25,-221,250,1,2,0,0,1,0,2
31,132,148,7,1,1,0,0,0,0
38,0,96,4,0,3,0,1,0,0
42,16,140,4,0,2,0,0,0,0
44,106,109,7,2,1,0,0,0,2
44,93,125,2,1,1,0,0,0,0
26,543,169,3,1,2,0,0,0,0
41,5883,182,4,1,2,0,0,0,0
55,627,247,1,1,0,0,1,0,2
67,696,119,5,1,3,0,0,0,1
56,784,149,6,1,1,0,0,1,0
53,105,74,0,1,1,0,0,1,0
68,4189,897,5,0,1,0,0,0,1
31,171,81,9,1,1,0,0,0,0
59,42,40,4,1,1,0,0,0,0
32,2536,958,4,2,2,0,1,0,0
49,1235,354,9,1,2,0,0,0,0
42,1811,150,0,0,1,0,1,0,2
78,229,97,5,0,0,0,0,0,1
32,2089,132,1,1,1,0,1,0,0
33,3935,765,4,1,1,0,1,0,0
23,363,16,7,2,2,0,1,0,2
38,11971,609,4,2,2,0,1,0,2
36,553,106,4,2,2,0,0,0,0
52,1117,365,1,1,1,0,1,0,0
32,396,205,9,1,2,0,1,0,0
32,2204,11,9,2,2,0,1,0,0
34,872,105,4,2,2,0,1,0,2
55,145,59,1,1,0,0,0,0,1
26,0,425,1,1,0,0,1,0,2
32,-849,204,2,2,0,1,1,1,0
61,4629,181,0,1,3,0,1,0,0
45,844,1018,1,0,0,0,0,0,2
37,228,1740,9,2,1,0,1,0,0
38,50,98,9,2,1,0,0,0,0
34,1539,441,9,1,2,0,1,0,0
53,2231,272,1,1,1,0,1,0,0
48,3064,159,0,1,1,0,1,0,1
57,82,140,4,1,1,0,0,1,1
33,2155,295,6,2,2,0,0,0,0
36,101,314,5,2,1,0,1,1,2
54,784,579,9,0,1,0,1,1,2
41,-516,554,1,1,0,0,0,1,1
63,415,323,5,1,1,0,1,0,0
48,5887,227,4,1,2,0,0,0,0
48,1355,134,7,1,1,0,0,0,0
56,16873,223,0,1,1,0,0,0,0
51,203,134,1,0,1,0,1,0,0
31,338,155,7,1,1,0,1,0,0
29,444,130,9,1,1,0,1,0,0
41,0,630,4,1,1,0,0,1,0
32,360,164,9,2,2,0,0,0,0
37,0,268,4,1,2,0,0,0,0
42,2,380,2,0,2,1,1,0,2
31,6248,154,4,2,2,0,1,0,2
41,412,154,7,1,2,0,1,0,2
56,344,221,5,1,1,0,1,0,2
54,3222,67,4,0,2,0,0,0,0
41,174,367,1,0,1,0,1,0,0
40,591,87,9,2,1,0,0,1,0
50,388,701,1,0,0,0,0,0,0
40,219,204,10,1,1,0,1,0,0
27,451,652,0,0,1,0,1,0,0
60,5,63,5,1,0,0,0,0,0
28,177,150,0,2,1,0,1,1,0
52,657,398,7,1,1,0,0,0,1
37,1315,224,4,1,2,0,0,0,0
51,1466,406,1,1,0,0,1,0,2
41,879,60,9,2,1,0,0,1,0
35,293,521,1,2,0,0,1,0,2
38,424,279,0,1,1,0,1,0,0
34,1831,203,1,1,1,0,1,0,2
39,111,201,1,1,0,0,0,0,0
34,455,372,1,1,0,0,1,0,2
27,-195,391,7,2,1,0,1,0,0
32,3616,165,4,2,2,0,0,0,0
57,14093,231,1,1,1,0,0,0,0
41,1567,291,11,2,2,0,0,0,0
41,5426,149,0,1,2,0,1,0,2
30,261,233,0,2,2,0,0,0,0
36,2843,473,1,0,1,0,0,0,0
31,406,736,10,2,0,0,0,0,0
36,0,337,1,1,1,0,1,0,2
38,493,553,4,2,2,0,1,0,0
49,5996,345,9,1,1,0,0,0,1
57,3777,65,7,2,0,0,1,0,1
34,524,9,4,2,1,0,0,0,2
32,574,259,4,2,2,0,1,0,0
37,427,371,1,1,1,0,1,1,2
33,483,280,6,1,2,0,1,0,0
56,3391,243,10,1,0,0,0,0,0
27,0,435,3,1,0,0,1,0,0
21,2488,258,8,2,1,0,0,0,0
58,1517,7,4,1,2,0,1,0,1
32,217,317,6,1,1,0,1,1,0
33,22,76,1,2,1,0,0,0,0
25,331,170,8,2,1,0,0,0,1
25,505,386,9,2,1,0,0,1,0
30,1808,83,7,1,1,0,1,0,0
22,4111,65,0,2,1,0,0,1,0
39,52,69,1,1,0,0,0,0,0
46,25,564,4,0,2,0,0,0,2
31,1890,588,0,0,1,0,1,0,0
45,419,113,1,1,0,0,0,0,0
32,2693,16,9,1,1,0,1,0,2
36,-231,779,1,1,1,0,0,1,0
51,-55,281,4,2,2,1,1,0,0
34,462,1877,6,2,2,0,0,0,0
24,119,51,10,2,1,0,0,0,2
45,586,32,9,2,1,0,0,1,0
32,228,176,1,2,1,0,0,0,1
77,4659,161,5,0,2,0,0,0,0
41,168,187,1,1,0,0,1,0,0
37,0,24,1,1,0,0,1,0,2
43,-715,67,1,1,3,1,1,0,2
48,0,85,0,1,3,0,1,0,0
27,769,317,9,2,1,0,1,0,2
33,0,236,4,2,2,0,0,0,0
29,428,54,0,2,1,0,1,1,0
34,0,71,4,2,2,0,0,0,0
52,-970,489,4,1,2,0,1,0,0
60,6313,39,4,1,3,0,0,0,2
32,948,204,4,0,2,0,0,0,0
